Gene name,Uniprot ID,human PPIs,sum human PPIs,sum human dmis,dN/dS,surface residues (%),disordered residues (%),unmasked disorder residues (%),contact order,temporal class,structural function,picnic score,condensate
UL42,F5HHZ3,"['Q76N89', 'P0DI83', 'P46934', 'Q6ZWJ1', 'P17302', 'Q9P2P5', 'P46934', 'Q96PU5', 'Q96J02', 'Q96J02']",10,4.0,0.328,100.0,27.2,27.2,4.486956522,no_meta_info,no_meta_info,0.099094362,not condensate
UL55,F5HB53,"['P46934', 'Q8NFH3', 'P46934', 'Q969V6', 'Q96PU5', 'P78357', 'Q9H0M0', 'Q02388', 'Q52LW3', 'Q8IYS1', 'Q8WZ42', 'Q8IZ07', 'Q9UK22', 'Q9NRX4', 'Q8N4C8', 'Q99996', 'O75376', 'Q05707', 'O00308', 'Q86TC9', 'Q9ULH1', 'Q92466', 'Q9UEE9', 'Q8NEX9', 'Q9UPU5', 'Q8IY17', 'Q7Z5L9', 'Q9NRD1', 'P49916', 'Q460N5', 'Q6ZVM7', 'P00966', 'Q9HCU0', 'O00165', 'Q96J02']",35,6.0,0.1342,73.55371901,23.81477398,23.815,90.36071559,DE,envelope,0.589048765,condensate
UL69,Q6SW73,"['Q96P47', 'Q6P1L5']",2,,0.109,79.07949791,54.04312668,54.043,57.18671679,LL,tegument,0.696406161,condensate
UL74,F5HGP1,"['Q9UHW5', 'Q8WUA7', 'Q9BV94', 'P08294', 'Q9NYU1', 'Q6V0I7', 'Q14517', 'Q8N436', 'P53677', 'Q96JQ0', 'Q6PKC3', 'Q9Y2I1', 'O43164', 'P16234', 'Q9Y5F6', 'Q9BU02', 'Q9BZQ6', 'Q8IXI2', 'Q9UK22', 'P48740', 'Q7L0J3', 'Q8IWB1', 'Q68DQ2', 'Q5VT25', 'O43149', 'Q9NRD1', 'Q05823', 'Q5TAQ9', 'P00736', 'O00165', 'Q8IWV7', 'Q6P3X3', 'Q9NUJ3', 'Q9NPF4', 'P08236', 'Q7Z5K2', 'Q8WXG6', 'Q96IV0', 'O95071', 'P30511', 'P05067', 'O95260', 'Q8IXI1', 'O75155', 'P49593', 'Q5T447', 'Q14257']",47,3.0,0.111,66.52078775,33.26271186,33.263,50.72711572,L,envelope,0.17687306,not condensate
UL75,Q6SW67,"['O00220', 'Q6IA69', 'Q8N5G2', 'Q9UBN6', 'Q5HYI8', 'Q9NRC1', 'Q03167', 'Q9NU22', 'P16234', 'O14763', 'Q9NVH2', 'P37088', 'P19438', 'Q5TH69', 'Q9NVM1', 'P42858', 'Q9Y6D5', 'Q2KJY2', 'O95881', 'O43149']",20,,0.161,48.79089616,1.617250674,1.617,63.02484815,L,envelope,0.135642841,not condensate
UL80/UL80.5,Q6SW62,"['Q86XK2', 'Q15032', 'P51572', 'Q709F0', 'Q8NFZ5', 'Q8TAP6', 'Q8NCJ5', 'P09488', 'Q2PZI1', 'Q9NUG6', 'Q53EZ4', 'Q6Q0C0', 'Q96JK2', 'Q9H788', 'Q86XK2', 'Q16610', 'Q8N5G2', 'AY446894', 'Q9P0J1', 'P49840', 'O75592', 'Q9Y4C2', 'Q96NB3', 'Q9NWU2', 'Q9HD26', 'Q9NRC1', 'Q92545', 'Q9NNW5', 'O15212', 'Q9UQB8', 'Q8IVL5', 'Q8NBP0', 'Q5JRX3', 'Q03468', 'Q8IWV8', 'P49841', 'O00308', 'Q9Y676', 'P46013', 'Q9H7D7', 'Q9NSC5', 'Q9Y240', 'P38646', 'Q9HAV7', 'P52294', 'Q16610', 'Q05048']",47,9.0,,77.31343284,45.62146893,45.621,103.3848541,L,non-structural,,
UL100,Q6SW43,"['Q92537', 'O60462', 'P10636', 'Q8TCG2', 'Q63HQ0', 'Q01968', 'O14786', 'Q86SF2', 'O75071', 'Q9C004', 'Q5XKK7', 'Q8IYB1', 'Q9H461', 'Q9BW60', 'O60353', 'O43752', 'Q6IAA8', 'O75976', 'Q9BWQ6', 'O75084', 'P09958', 'P20340', 'Q9Y3P9', 'Q04656', 'Q6IQ22', 'P19021', 'Q8IZA0', 'Q9P0T7', 'Q16585', 'Q96JQ0', 'Q9NUN5', 'Q9UL25', 'Q9Y487', 'O14662', 'Q9NRW7', 'P27540', 'P17302', 'Q9Y2G8', 'P63027']",39,,0.0946,52.50737463,6.199460916,6.199,49.06805556,L,envelope,0.050863334,not condensate
UL119,F5HC14,0,,,0.211,69.27899687,28.11594203,28.116,43.49317406,DE,non-structural,0.103168878,not condensate
UL120,Q6SW31,,,,0.167,69.61325967,27.36318408,27.363,37.0989011,no_meta_info,no_meta_info,0.180434948,not condensate
UL121,F5HD27,"['Q13228', 'Q9Y446', 'O60437', 'Q9BQI5', 'P01036', 'Q8NE01', 'P53602', 'Q9Y676', 'P01037', 'P15260']",10,,,78.57142857,7.777777778,7.778,37.30884808,no_meta_info,no_meta_info,,
UL132,F5HGU6,"['Q9Y3P9', 'Q9UBP9', 'Q5R372', 'Q7Z6M1', 'P42898', 'Q13332', 'P53350', 'Q92633', 'Q9NRG9', 'Q9Y5S9', 'Q6NW34', 'Q12769', 'P26583', 'Q13526', 'Q8WTT2', 'Q99720', 'Q5EB52', 'Q00765', 'O95197', 'P51608', 'O60462', 'Q9H4B6', 'Q9NVH2', 'Q01628', 'Q96CW1', 'P04049', 'P06132', 'Q96K37', 'Q9Y6R0', 'P52926', 'Q5K651', 'Q9NUY8', 'Q9H3M7', 'Q5JTH9', 'Q8IYS1', 'Q13671', 'Q14019', 'Q9P2T1', 'P80217', 'Q14050', 'P08397', 'P30043', 'Q6P9B9', 'Q9NVS2', 'P28340', 'O00391', 'Q8WYP5', 'Q96RD7', 'Q6ZMZ3', 'P30085', 'Q9NRX4', 'Q9BRA2', 'Q9Y2V2', 'Q9UIG0', 'Q52LW3', 'Q53EL6', 'Q14676', 'O75915', 'P00966', 'Q14137', 'Q14696', 'Q9Y6D5', 'Q9Y2D4', 'Q8IY17', 'Q9BVP2', 'Q13404', 'Q9Y680', 'P48449', 'P29373', 'Q9BQG0', 'Q92466', 'P21589', 'Q6P3X3', 'Q15003', 'Q15021', 'P48651', 'Q9UGP8', 'P49773', 'O14933', 'Q9NUM4', 'Q9UFC0', 'P18754', 'Q96HW7', 'Q00688', 'O00560', 'Q12765', 'Q7Z5L9', 'P16234', 'Q9BYK8', 'P49916', 'O43292', 'P00568', 'P04114', 'Q2NL82', 'P42356', 'Q8NEB9', 'Q8N2K0', 'Q9H0A0', 'Q13136', 'Q9Y4W2', 'Q63HN8', 'Q9Y2X3', 'P98082', 'P61619', 'O94973', 'Q96CW1', 'O95782']",107,8.0,0.121,97.24409449,71.85185185,71.852,20.19736842,LL,envelope,0.259548436,not condensate
UL133,Q6SW10,"['P02042', 'P49006', 'Q9H425', 'P00813', 'Q5JVS0', 'Q9H1E3', 'Q92870', 'O75368', 'Q6ZVM7', 'Q96PU5', 'Q9NY27', 'Q92620', 'Q8IZ07']",13,1.0,,93.75,49.41634241,49.416,19.64649682,no_meta_info,no_meta_info,,
UL139,Q6SW14,"['Q8NI60', 'O43240', 'Q9Y6R0', 'O00214', 'P09382']",5,,,98.51851852,50.72463768,50.725,16.248,no_meta_info,no_meta_info,,
UL144,F5HAM0,"['Q6UW68', 'P14406', 'Q9UK22', 'P10606', 'P20674', 'P41227', 'P36406', 'Q9Y4K3']",8,,0.149,87.65432099,18.75,18.75,20.20533333,no_meta_info,no_meta_info,0.032843469,not condensate
IRS1,Q6SW04,"['A1A4S6', 'Q99962', 'Q9P2N7', 'Q96JP2', 'Q9P2J3', 'Q9C0D3', 'O43150', 'Q9ULH1', 'P46109', 'P46108', 'Q99961', 'P46108']",12,6.0,,63.97515528,40.61393152,40.614,95.04834055,IE,tegument,,
US7,F5HDD3,"['Q96MG8', 'Q6Y288', 'Q9BXJ8', 'Q92558', 'O75844', 'Q5VSL9', 'P55899', 'Q86YR5', 'Q9BTD8', 'Q9UHV7', 'P05026', 'Q96JB5', 'Q9HB07', 'O94903', 'Q9Y4C2', 'Q9BXS4', 'P32780', 'Q6GQQ9', 'P30043', 'Q14137', 'P00352', 'B7ZAQ6', 'Q9C0B1', 'P35659', 'Q8IVL5', 'Q14696', 'O43395', 'O75368', 'P19784', 'Q9HD26', 'Q96PU8', 'Q13619', 'Q8IXQ6', 'Q8WXA9', 'Q92930', 'O15031', 'O00330', 'Q96RP9', 'P61009', 'Q9UGV2', 'Q96Q15', 'Q8N3U4', 'P40189', 'Q9Y5S1', 'Q13404', 'Q8N183', 'Q9UPU5', 'P15260', 'P40818', 'P16234', 'Q2KJY2', 'Q9H0U9', 'Q14669', 'P22413', 'Q9NX40', 'Q9H7D0', 'P78559', 'A5D8V6', 'Q92793', 'Q8IY67', 'Q9C0J8', 'P15151', 'Q9NUM4', 'O94979', 'Q6ZVM7', 'Q5JRX3', 'P54802', 'P13747', 'Q14978', 'Q01543', 'P68036', 'Q7Z4F1', 'O94804', 'Q12846', 'Q14571', 'Q16706']",76,5.0,,87.31707317,41.33333333,41.333,32.44927536,no_meta_info,no_meta_info,,
US8,F5HB52,"['O60503', 'O60476', 'P02814', 'P51798', 'P43897', 'Q13409', 'Q8IWV8', 'Q9NQ88', 'O14562', 'P30533', 'P22307', 'P30085', 'Q9Y3B8', 'P00352', 'Q96RS6', 'Q9C0B1', 'P13747', 'P07197', 'O75368', 'P01036', 'P53634', 'Q13404', 'Q9BXS4', 'Q8NEX9', 'P01037', 'O75635', 'Q9H7D7', 'Q8TDQ7', 'P68036', 'Q9UGV2', 'O76003']",31,,,80.6763285,21.14537445,21.145,33.3442029,DE,non-structural,,
US23,F5HAZ3,"['Q15166', 'P02750', 'Q8WTS1', 'Q6ZNF0', 'P12532', 'P12429', 'Q9Y2T3', 'Q9UKR3', 'Q8NCW5', 'Q02487', 'Q15828', 'Q92876', 'P19971', 'Q5VT79', 'P29034', 'Q92874', 'Q92817', 'Q9UIV8', 'Q9Y446', 'Q15052', 'P36952', 'P80188', 'P30740', 'P00352', 'O00391', 'Q9Y3R4', 'Q9Y297', 'P33121', 'P05120', 'Q8NEX9', 'A8K2U0', 'P01859', 'Q6YN16', 'P01860', 'O75635', 'P00568', 'P31949', 'P01834']",38,2.0,0.0762,58.84476534,26.52027027,26.52,81.94434706,DE,tegument,0.190129399,not condensate
US34,F5HEF3,"['Q8IWV8', 'O95071']",2,,,96.0,91.41104294,91.411,23.25238095,DE,non-structural,,
TRS1,Q6SVX2,['Q8WXX5'],1,,0.108,60.1615074,33.50253807,33.503,95.11957271,IE,tegument,0.415855161,not condensate
RL1,Q6SWD5,"['Q13619', 'Q9BW61', 'Q13620', 'Q14289', 'Q5SYE7', 'Q9H2J4', 'Q5JRX3', 'O14737']",8,1.0,0.0302,86.95652174,99.03225806,99.032,53.30393487,no_meta_info,no_meta_info,0.385189533,not condensate
RL10,F5HI32,"['Q16585', 'P55011', 'P13747']",3,,,97.4522293,47.05882353,47.059,10.9755102,no_meta_info,no_meta_info,,
RL11,Q6SWD1,"['O75581', 'Q9BXS4']",2,,,72.27272727,13.24786325,13.248,42.49489796,no_meta_info,no_meta_info,,
RL12,Q6SWD0,"['Q8NFU1', 'O15212', 'O75915', 'P99999', 'Q13619']",5,,,87.21804511,56.03864734,56.039,49.24120603,no_meta_info,no_meta_info,,
RL13,Q6SWC9,0,,,,81.94945848,39.59044369,39.59,38.61740331,no_meta_info,no_meta_info,,
RL5A,F5HF23,['Q8IUL8'],1,,,64.77272727,0.0,0.0,35.75308642,no_meta_info,no_meta_info,,
RL6,Q6SWD3,"['Q96AB6', 'Q9NR19', 'O60927', 'Q86V21', 'Q96K17', 'Q9NWV4', 'Q13526', 'Q8NBL1', 'P30042', 'Q9Y5S9', 'Q15814', 'P25325', 'P26583', 'P62834', 'P61960', 'Q96PZ0', 'Q9H6F5', 'O75347', 'P62256', 'Q13107', 'Q08752', 'P50579', 'P51608', 'P35813', 'Q8NBJ7', 'Q16763', 'Q8WVJ2', 'P16930', 'Q9BV86', 'P61088', 'Q9NX58', 'P23193', 'Q9BY32', 'Q96DF8', 'O94901', 'P53582', 'O14562', 'Q9BX68', 'P23434', 'P43155', 'Q9HB07', 'Q14684', 'P30085', 'P52926', 'Q99426', 'Q9UIG0', 'P30043', 'P52788', 'O43426', 'Q15813', 'Q9H0C8', 'Q96T88', 'Q9C0B1', 'Q9NRX4', 'Q9NWH9', 'Q8WZA9', 'Q9Y2V2', 'P08397', 'Q14019', 'Q9BQ52', 'Q6P9B6', 'O60493', 'P35659', 'P49773', 'P01042', 'Q8WWY3', 'Q0ZGT2', 'Q9NVZ3', 'Q86XZ4', 'Q6P2I3', 'Q14696', 'Q3KQV9', 'Q13404', 'Q9Y680', 'O75368', 'Q14676', 'Q9BRA2', 'P21589', 'Q6SPF0', 'Q9NW68', 'P30405', 'O14745', 'Q68E01', 'Q8IZ73', 'Q00688', 'P68036', 'A0AVT1', 'Q9P287', 'Q12765', 'P00568', 'Q86YP4', 'Q96RP9', 'Q01581', 'O75439', 'P99999', 'P62310', 'Q9ULH1', 'P29373', 'Q9BRP8', 'Q9H488', 'P46109', 'P05413', 'P18754', 'Q9UGP8', 'Q9UFC0', 'O75494', 'Q9HC38', 'Q5TFE4', 'P11388', 'P13693', 'P09110', 'Q04323', 'Q9BTU6', 'P49841', 'Q9BQG0', 'Q9UHD1', 'B0YJ81', 'Q9BS40', 'Q9H4A4', 'Q6UB35', 'Q13243', 'Q8WXX5', 'Q5JRX3', 'P36507', 'O76021', 'Q9UL25', 'Q9NR45', 'Q9H4A6', 'Q07960', 'Q6IBS0', 'Q8N2K0', 'P36551', 'Q12972', 'Q9H307', 'Q6NUK1', 'Q14BN4', 'P46013', 'P09936', 'O15067', 'O43396', 'P50479', 'Q8N1G4', 'E9PAV3']",143,1.0,,56.60377358,5.405405405,5.405,35.85018727,no_meta_info,no_meta_info,,
RL8A,F7V995,"['Q9H330', 'Q9NXE4', 'Q9Y6C9', 'Q68DH5', 'P82930', 'Q5T011', 'Q8IZ73', 'P48740', 'P00736', 'O75688', 'Q03468', 'Q9UFG5', 'P11388', 'P49643', 'P46013', 'O95671', 'Q8N3D4', 'Q6NSI3', 'Q13136', 'P49916', 'Q7Z5K2', 'Q6P3X3', 'Q15022', 'Q8IY17', 'Q9H0X9', 'Q92466', 'O43681', 'O94919']",28,,,97.64705882,5.555555556,5.556,4.029411765,no_meta_info,no_meta_info,,
RL9A,F7V996,"['P02042', 'P36952', 'Q8TF66', 'P21589', 'P05165', 'P68871', 'P29373']",7,,,100.0,2.127659574,2.128,4.0,no_meta_info,no_meta_info,,
UL1,Q6SWC8,"['P06732', 'Q9BZF3']",2,,,74.14634146,19.26605505,19.266,37.00522193,no_meta_info,no_meta_info,,
UL10,Q6SWC0,"['Q96T23', 'Q9UKM9', 'Q5TH69', 'Q9UKD1', 'Q92793', 'Q14BN4', 'Q68DQ2']",7,,,81.32780083,28.74015748,28.74,45.72740964,no_meta_info,no_meta_info,,
UL102,F5HIG1,"['Q99471', 'O14933', 'Q9Y508', 'Q8N4Q1', 'P05165']",5,,0.0693,54.23514539,21.76403207,21.764,93.69908719,DE,non-structural,0.207281559,not condensate
UL103,F5HA10,"['Q96BY7', 'Q68DQ2', 'Q9Y2X9', 'Q96RQ3']",4,,0.149,50.86956522,1.204819277,1.205,56.2845953,L,tegument,0.159117736,not condensate
UL104,F5HBR4,"['Q9Y5J9', 'Q86XK2', 'O60220', 'Q9Y5L4']",4,1.0,0.0745,72.57318952,19.51219512,19.512,115.2075195,DE,non-structural,0.599593444,condensate
UL105,F5HEN8,"['Q6V1X1', 'Q9BZL6', 'Q01105', 'Q68DQ2', 'Q8TER5', 'Q9P206', 'Q9ULH1', 'P00966', 'Q86TI2', 'P11388', 'Q9HCU0', 'Q9BQG0', 'P46013', 'P15927', 'P27694']",15,2.0,0.0358,51.85185185,17.57322176,17.573,154.5578316,DE,non-structural,0.54897568,condensate
UL11,Q6SWB9,"['Q96JQ0', 'Q71SY5']",2,,0.221,81.46718147,31.98529412,31.985,43.91205674,no_meta_info,no_meta_info,0.051158817,not condensate
UL111A,F5HC71,"['ORFL248W', 'Q13651']",2,,0.17,64.45783133,3.409090909,3.409,45.819063,no_meta_info,no_meta_info,0.133515135,not condensate
UL112,Q6SW37,"['Q86YT6', 'Q12906']",2,,0.159,89.72392638,56.7251462,56.725,92.4957265,DE,non-structural,0.446270963,not condensate
UL114,F5HI85,"['Q96EP1', 'Q13630', 'Q99471', 'P05413', 'Q8WXX5', 'Q12824']",6,,0.125,47.4137931,1.6,1.6,43.55475763,DE,non-structural,0.162740802,not condensate
UL115,F5HCH8,['P16234'],1,,0.208,61.62790698,24.10071942,24.101,46.6735905,L,envelope,0.086476003,not condensate
UL116,Q6SW34,"['Q9UBN6', 'O60437', 'P55290', 'P19438', 'O14763', 'Q2KJY2', 'Q9NVM1', 'P41221']",8,,0.28,85.6187291,79.23322684,79.233,30.9213894,no_meta_info,no_meta_info,0.080659395,not condensate
UL117,F5HFA5,['Q9H3K6'],1,,0.0725,86.47959184,63.29411765,63.294,59.11304348,L,non-structural,0.652546265,condensate
UL122,Q6SW29,"['Q9UBC1', 'P56524', 'Q9ULZ3', 'O15231', 'Q96LB3', 'Q14134', 'Q9BQ50', 'O43240', 'Q92817', 'P29034', 'Q5VT79', 'P36952', 'Q6ZRV2', 'P02675', 'O95372', 'Q9Y446', 'O60437', 'Q96GK7', 'P05120', 'Q3KQV9', 'P30740', 'Q16718', 'Q13325', 'Q92530', 'Q99471', 'O00148', 'Q9H4A4', 'O75629', 'P55145', 'O75439', 'P49753', 'Q13619', 'Q9Y2X9', 'Q9H3K6', 'P01860', 'Q92747', 'P29373', 'Q96G03', 'Q9C0J8', 'P11021', 'P08708', 'P67870', 'P68400', 'O00505', 'P63167', 'P06400', 'Q15326', 'Q96FJ2']",48,3.0,0.159,84.11552347,47.93103448,47.931,61.64901257,IE,non-structural,0.720912831,condensate
UL123,F5HCM1,"['Q99584', 'Q01167', 'Q9NW15', 'P85037', 'Q9BR39', 'Q7LGA3', 'P84157', 'Q9NZ43', 'P05026', 'O15400', 'P51572', 'Q9Y5S1', 'Q6P4E1', 'Q14BN4', 'Q9NX40', 'Q2KJY2', 'P67812', 'P16234', 'P54920', 'O43292', 'P22413', 'O00268', 'Q8N2K0', 'Q9HCM4', 'P52630', 'Q9C0E8', 'P29590', 'Q9UER7', 'Q9C035']",29,2.0,0.272,69.13043478,25.45824847,25.458,62.89455782,IE,non-structural,0.730842855,condensate
UL124,F5HHS3,['P40189'],1,,,97.84172662,35.33333333,35.333,17.69911504,no_meta_info,no_meta_info,,
